device_id,fleet_id,event_time,battery_level,speed_mps,status,error_code,location_zone,temperature_celsius
ROBOT-0001,FLEET-SEATTLE-01,2026-03-22 19:33:00,27,0.0,ERROR,ERR_MOTOR,ZONE-D,41.0
ROBOT-0020,FLEET-BOSTON-02,2026-03-22 20:52:00,28,0.77,ACTIVE,,ZONE-E,20.8
ROBOT-0011,FLEET-SEATTLE-01,2026-03-22 02:39:00,28,0.0,CHARGING,,ZONE-B,27.4
ROBOT-0003,FLEET-SEATTLE-01,2026-03-22 22:52:00,86,0.0,ERROR,ERR_MOTOR,ZONE-C,30.1
ROBOT-0003,FLEET-BOSTON-02,2026-03-22 08:45:00,36,0.0,ERROR,ERR_COMM,ZONE-A,37.5
ROBOT-0015,FLEET-SEATTLE-01,2026-03-22 14:19:00,54,3.39,ACTIVE,,ZONE-D,31.3
ROBOT-0018,FLEET-BOSTON-02,2026-03-22 03:27:00,54,0.0,CHARGING,,ZONE-D,39.3
ROBOT-0015,FLEET-BOSTON-01,2026-03-22 01:08:00,25,0.0,IDLE,,ZONE-C,18.5
ROBOT-0011,FLEET-BOSTON-01,2026-03-22 12:48:00,14,0.0,ERROR,ERR_SENSOR,ZONE-B,37.8
ROBOT-0020,FLEET-SEATTLE-01,2026-03-22 16:28:00,48,2.47,ACTIVE,,ZONE-D,43.4
ROBOT-0014,FLEET-BOSTON-01,2026-03-22 01:49:00,82,0.0,IDLE,,ZONE-A,26.9
ROBOT-0018,FLEET-SEATTLE-01,2026-03-22 18:26:00,57,0.0,IDLE,,ZONE-C,35.8
ROBOT-0002,FLEET-BOSTON-02,2026-03-22 19:30:00,17,0.0,ERROR,ERR_COMM,ZONE-E,40.7
ROBOT-0012,FLEET-BOSTON-01,2026-03-22 14:35:00,11,0.0,IDLE,,ZONE-A,26.0
ROBOT-0004,FLEET-BOSTON-01,2026-03-22 07:03:00,35,0.0,CHARGING,,ZONE-B,35.2
ROBOT-0004,FLEET-BOSTON-02,2026-03-22 13:34:00,65,1.65,ACTIVE,,ZONE-C,20.5
ROBOT-0012,FLEET-BOSTON-02,2026-03-22 12:36:00,33,0.0,CHARGING,,ZONE-B,30.0
ROBOT-0009,FLEET-BOSTON-01,2026-03-22 09:10:00,64,0.0,ERROR,,ZONE-E,19.7
ROBOT-0012,FLEET-SEATTLE-01,2026-03-22 14:07:00,15,3.4,ACTIVE,,ZONE-E,24.1
ROBOT-0017,FLEET-BOSTON-02,2026-03-22 18:16:00,54,2.4,ACTIVE,,ZONE-D,33.5
ROBOT-0010,FLEET-BOSTON-01,2026-03-22 13:28:00,65,0.0,IDLE,,ZONE-A,31.6
ROBOT-0015,FLEET-BOSTON-01,2026-03-22 05:42:00,20,0.0,IDLE,,ZONE-B,39.8
ROBOT-0014,FLEET-BOSTON-01,2026-03-22 23:19:00,10,0.0,IDLE,,ZONE-D,23.5
ROBOT-0009,FLEET-BOSTON-02,2026-03-22 02:17:00,81,0.0,IDLE,,ZONE-A,28.5
ROBOT-0011,FLEET-BOSTON-02,2026-03-22 17:44:00,80,0.0,CHARGING,,ZONE-D,42.8
ROBOT-0020,FLEET-SEATTLE-01,2026-03-22 17:50:00,94,2.74,ACTIVE,,ZONE-A,29.2
ROBOT-0019,FLEET-SEATTLE-01,2026-03-22 03:25:00,77,0.0,IDLE,,ZONE-A,33.2
ROBOT-0018,FLEET-BOSTON-02,2026-03-22 14:01:00,41,0.92,ACTIVE,,ZONE-D,33.4
ROBOT-0006,FLEET-BOSTON-02,2026-03-22 13:45:00,14,0.0,CHARGING,,ZONE-B,34.7
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 23:34:00,14,0.0,CHARGING,,ZONE-B,19.3
ROBOT-0012,FLEET-BOSTON-01,2026-03-22 11:31:00,44,0.0,CHARGING,,ZONE-C,26.4
ROBOT-0008,FLEET-BOSTON-01,2026-03-22 10:15:00,22,0.0,CHARGING,,ZONE-D,38.9
ROBOT-0014,FLEET-SEATTLE-01,2026-03-22 22:02:00,98,0.0,ERROR,,ZONE-A,23.1
ROBOT-0016,FLEET-SEATTLE-01,2026-03-22 12:45:00,57,0.0,IDLE,,ZONE-A,31.9
ROBOT-0010,FLEET-SEATTLE-01,2026-03-22 17:17:00,13,0.0,IDLE,,ZONE-D,21.7
ROBOT-0007,FLEET-BOSTON-01,2026-03-22 01:58:00,27,0.87,ACTIVE,,ZONE-D,19.4
ROBOT-0012,FLEET-BOSTON-02,2026-03-22 17:14:00,40,0.0,ERROR,ERR_COMM,ZONE-D,35.2
ROBOT-0001,FLEET-BOSTON-01,2026-03-22 12:42:00,92,1.71,ACTIVE,,ZONE-D,22.8
ROBOT-0018,FLEET-BOSTON-02,2026-03-22 11:45:00,85,0.0,CHARGING,,ZONE-B,40.6
ROBOT-0001,FLEET-BOSTON-02,2026-03-22 01:41:00,41,0.0,ERROR,ERR_SENSOR,ZONE-B,41.1
ROBOT-0008,FLEET-SEATTLE-01,2026-03-22 07:03:00,33,0.0,IDLE,,ZONE-C,35.6
ROBOT-0001,FLEET-BOSTON-02,2026-03-22 04:30:00,92,2.27,ACTIVE,,ZONE-E,39.6
ROBOT-0020,FLEET-BOSTON-02,2026-03-22 21:56:00,37,0.0,IDLE,,ZONE-C,29.4
ROBOT-0015,FLEET-BOSTON-02,2026-03-22 07:26:00,54,0.0,CHARGING,,ZONE-D,26.2
ROBOT-0004,FLEET-BOSTON-01,2026-03-22 17:27:00,84,0.0,CHARGING,,ZONE-C,33.2
ROBOT-0004,FLEET-BOSTON-02,2026-03-22 02:10:00,92,0.0,ERROR,,ZONE-C,44.7
ROBOT-0010,FLEET-BOSTON-01,2026-03-22 05:07:00,38,0.0,ERROR,,ZONE-E,38.7
ROBOT-0013,FLEET-SEATTLE-01,2026-03-22 10:54:00,81,2.38,ACTIVE,,ZONE-A,35.7
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 01:12:00,58,0.0,ERROR,,ZONE-E,37.1
ROBOT-0008,FLEET-SEATTLE-01,2026-03-22 18:14:00,48,0.0,IDLE,,ZONE-D,42.5
ROBOT-0006,FLEET-SEATTLE-01,2026-03-22 19:03:00,43,0.0,ERROR,,ZONE-B,25.9
ROBOT-0009,FLEET-SEATTLE-01,2026-03-22 19:04:00,26,0.0,CHARGING,,ZONE-B,43.6
ROBOT-0012,FLEET-BOSTON-01,2026-03-22 10:28:00,33,0.0,ERROR,ERR_SENSOR,ZONE-D,39.3
ROBOT-0019,FLEET-BOSTON-02,2026-03-22 15:49:00,38,0.0,ERROR,,ZONE-A,30.7
ROBOT-0007,FLEET-SEATTLE-01,2026-03-22 04:05:00,65,3.04,ACTIVE,,ZONE-D,32.3
ROBOT-0005,FLEET-BOSTON-01,2026-03-22 06:50:00,16,0.0,CHARGING,,ZONE-C,29.0
ROBOT-0011,FLEET-SEATTLE-01,2026-03-22 06:09:00,28,0.0,CHARGING,,ZONE-A,31.2
ROBOT-0002,FLEET-BOSTON-01,2026-03-22 15:25:00,45,0.0,IDLE,,ZONE-C,23.7
ROBOT-0006,FLEET-BOSTON-02,2026-03-22 03:00:00,78,0.0,IDLE,,ZONE-B,34.6
ROBOT-0014,FLEET-BOSTON-02,2026-03-22 13:05:00,61,0.0,CHARGING,,ZONE-A,19.0
ROBOT-0012,FLEET-BOSTON-01,2026-03-22 10:59:00,98,0.0,IDLE,,ZONE-E,23.1
ROBOT-0008,FLEET-BOSTON-01,2026-03-22 23:40:00,85,3.07,ACTIVE,,ZONE-C,21.5
ROBOT-0019,FLEET-BOSTON-02,2026-03-22 05:42:00,74,0.0,CHARGING,,ZONE-A,40.2
ROBOT-0017,FLEET-SEATTLE-01,2026-03-22 17:53:00,63,0.0,ERROR,,ZONE-C,29.7
ROBOT-0016,FLEET-BOSTON-02,2026-03-22 06:25:00,48,0.0,IDLE,,ZONE-B,43.6
ROBOT-0008,FLEET-BOSTON-01,2026-03-22 04:28:00,12,0.0,CHARGING,,ZONE-B,37.8
ROBOT-0012,FLEET-SEATTLE-01,2026-03-22 22:12:00,20,0.0,IDLE,,ZONE-A,28.1
ROBOT-0002,FLEET-SEATTLE-01,2026-03-22 01:38:00,84,0.0,ERROR,,ZONE-A,35.6
ROBOT-0004,FLEET-BOSTON-02,2026-03-22 15:09:00,11,1.33,ACTIVE,,ZONE-E,24.8
ROBOT-0001,FLEET-BOSTON-02,2026-03-22 14:21:00,31,0.0,IDLE,,ZONE-A,35.9
ROBOT-0005,FLEET-BOSTON-02,2026-03-22 03:34:00,82,0.0,ERROR,,ZONE-E,37.4
ROBOT-0004,FLEET-BOSTON-01,2026-03-22 16:59:00,41,0.7,ACTIVE,,ZONE-B,39.0
ROBOT-0014,FLEET-BOSTON-02,2026-03-22 05:28:00,50,0.0,IDLE,,ZONE-A,32.8
ROBOT-0016,FLEET-BOSTON-02,2026-03-22 08:00:00,93,0.0,IDLE,,ZONE-A,18.3
ROBOT-0019,FLEET-SEATTLE-01,2026-03-22 16:51:00,19,0.52,ACTIVE,,ZONE-A,39.0
ROBOT-0004,FLEET-BOSTON-02,2026-03-22 21:59:00,97,0.81,ACTIVE,,ZONE-C,25.1
ROBOT-0006,FLEET-BOSTON-01,2026-03-22 09:55:00,17,1.26,ACTIVE,,ZONE-C,29.5
ROBOT-0002,FLEET-BOSTON-01,2026-03-22 04:43:00,17,2.32,ACTIVE,,ZONE-B,26.9
ROBOT-0009,FLEET-SEATTLE-01,2026-03-22 03:10:00,89,0.0,CHARGING,,ZONE-C,40.0
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 15:34:00,19,0.0,IDLE,,ZONE-C,40.6
ROBOT-0006,FLEET-BOSTON-01,2026-03-22 04:31:00,63,0.0,CHARGING,,ZONE-A,44.5
ROBOT-0014,FLEET-SEATTLE-01,2026-03-22 16:28:00,18,0.0,IDLE,,ZONE-E,36.3
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 20:52:00,83,0.0,IDLE,,ZONE-A,41.3
ROBOT-0016,FLEET-BOSTON-01,2026-03-22 14:02:00,66,0.0,IDLE,,ZONE-D,19.2
ROBOT-0017,FLEET-SEATTLE-01,2026-03-22 19:40:00,6,0.0,ERROR,,ZONE-E,24.0
ROBOT-0020,FLEET-BOSTON-01,2026-03-22 14:46:00,71,0.0,ERROR,,ZONE-B,31.0
ROBOT-0018,FLEET-SEATTLE-01,2026-03-22 01:51:00,29,0.0,CHARGING,,ZONE-A,35.4
ROBOT-0016,FLEET-BOSTON-02,2026-03-22 05:38:00,69,0.0,IDLE,,ZONE-A,38.3
ROBOT-0009,FLEET-BOSTON-01,2026-03-22 17:18:00,47,0.0,ERROR,ERR_COMM,ZONE-B,32.9
ROBOT-0008,FLEET-BOSTON-01,2026-03-22 15:40:00,61,0.0,CHARGING,,ZONE-D,39.6
ROBOT-0016,FLEET-BOSTON-02,2026-03-22 10:47:00,21,0.0,CHARGING,,ZONE-A,44.5
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 01:13:00,18,1.95,ACTIVE,,ZONE-A,40.3
ROBOT-0007,FLEET-SEATTLE-01,2026-03-22 22:55:00,76,0.0,ERROR,,ZONE-D,43.7
ROBOT-0015,FLEET-BOSTON-02,2026-03-22 19:07:00,33,0.0,ERROR,ERR_BATTERY,ZONE-E,34.2
ROBOT-0004,FLEET-SEATTLE-01,2026-03-22 07:34:00,19,0.0,ERROR,,ZONE-A,27.2
ROBOT-0012,FLEET-SEATTLE-01,2026-03-22 03:37:00,71,0.0,ERROR,,ZONE-A,42.2
ROBOT-0014,FLEET-BOSTON-01,2026-03-22 08:40:00,27,0.0,CHARGING,,ZONE-E,23.3
ROBOT-0007,FLEET-BOSTON-02,2026-03-22 06:30:00,55,2.51,ACTIVE,,ZONE-A,38.4
ROBOT-0019,FLEET-BOSTON-01,2026-03-22 15:22:00,86,1.6,ACTIVE,,ZONE-E,43.8
ROBOT-0001,FLEET-SEATTLE-01,2026-03-22 01:39:00,68,0.0,IDLE,,ZONE-E,43.3
ROBOT-0006,FLEET-SEATTLE-01,2026-03-22 19:44:00,75,0.0,CHARGING,,ZONE-B,37.7
ROBOT-0013,FLEET-SEATTLE-01,2026-03-22 20:29:00,18,0.0,IDLE,,ZONE-E,41.8
ROBOT-0020,FLEET-SEATTLE-01,2026-03-22 08:28:00,63,0.0,CHARGING,,ZONE-C,28.7
ROBOT-0005,FLEET-BOSTON-01,2026-03-22 14:05:00,62,0.0,ERROR,,ZONE-E,36.9
ROBOT-0018,FLEET-SEATTLE-01,2026-03-22 07:25:00,45,0.0,ERROR,,ZONE-B,23.7
ROBOT-0005,FLEET-SEATTLE-01,2026-03-22 22:11:00,91,0.0,ERROR,,ZONE-B,31.6
ROBOT-0018,FLEET-BOSTON-02,2026-03-22 19:53:00,50,0.0,ERROR,ERR_SENSOR,ZONE-E,43.5
ROBOT-0010,FLEET-BOSTON-02,2026-03-22 00:26:00,78,0.0,CHARGING,,ZONE-E,20.9
ROBOT-0002,FLEET-SEATTLE-01,2026-03-22 01:55:00,28,0.0,CHARGING,,ZONE-B,25.2
ROBOT-0009,FLEET-BOSTON-01,2026-03-22 02:07:00,41,0.0,IDLE,,ZONE-C,23.5
ROBOT-0015,FLEET-BOSTON-01,2026-03-22 21:01:00,50,3.04,ACTIVE,,ZONE-E,41.4
ROBOT-0017,FLEET-SEATTLE-01,2026-03-22 09:49:00,40,0.0,CHARGING,,ZONE-A,43.0
ROBOT-0011,FLEET-SEATTLE-01,2026-03-22 01:50:00,63,0.0,CHARGING,,ZONE-A,38.1
ROBOT-0015,FLEET-BOSTON-01,2026-03-22 21:37:00,84,0.0,IDLE,,ZONE-C,38.4
ROBOT-0007,FLEET-BOSTON-02,2026-03-22 15:19:00,97,0.0,IDLE,,ZONE-B,44.6
ROBOT-0006,FLEET-SEATTLE-01,2026-03-22 17:32:00,28,0.42,ACTIVE,,ZONE-A,29.6
ROBOT-0019,FLEET-BOSTON-02,2026-03-22 00:11:00,25,0.0,ERROR,ERR_MOTOR,ZONE-C,30.6
ROBOT-0005,FLEET-BOSTON-02,2026-03-22 20:22:00,10,0.0,IDLE,,ZONE-A,38.9
ROBOT-0018,FLEET-BOSTON-02,2026-03-22 02:29:00,78,0.0,ERROR,,ZONE-C,32.2
